Number,Country,GDP nominal,GDP abbrev,GDP growth,Population,GDP per capital,Share of world GDP
73,Tanzania,"$75,709,289,056",$75.71 billion,4.56%,"6,54,97,748","$1,156",0.08%
74,Sri Lanka,"$74,403,578,363",$74.40 billion,-7.82%,"2,18,32,143","$3,408",0.07%
75,Ghana,"$72,838,798,788",$72.84 billion,3.24%,"3,34,75,870","$2,176",0.07%
76,Belarus,"$72,793,457,588",$72.79 billion,-4.70%,"95,34,954","$7,634",0.07%
77,Uruguay,"$71,177,146,197",$71.18 billion,4.92%,"34,22,794","$20,795",0.07%
78,Croatia,"$70,964,606,465",$70.96 billion,6.33%,"40,30,358","$17,608",0.07%
79,Lithuania,"$70,334,299,008",$70.33 billion,1.89%,"27,50,055","$25,576",0.07%
80,Côte d'Ivoire,"$70,018,715,017",$70.02 billion,6.74%,"2,81,60,542","$2,486",0.07%
81,Costa Rica,"$68,380,838,316",$68.38 billion,4.31%,"51,80,829","$13,199",0.07%
82,Serbia,"$63,501,748,652",$63.50 billion,2.25%,"72,21,365","$8,794",0.06%
83,Slovenia,"$62,117,768,015",$62.12 billion,5.37%,"21,19,844","$29,303",0.06%
84,Myanmar,"$59,364,362,541",$59.36 billion,3.00%,"5,41,79,306","$1,096",0.06%
85,DR Congo,"$58,065,953,573",$58.07 billion,8.92%,"9,90,10,212",$586,0.06%
86,Sudan,"$51,662,241,775",$51.66 billion,-0.95%,"4,68,74,204","$1,102",0.05%
87,Jordan,"$47,451,499,859",$47.45 billion,2.50%,"1,12,85,869","$4,205",0.05%
88,Tunisia,"$46,664,948,952",$46.66 billion,2.52%,"1,23,56,117","$3,777",0.05%
89,Libya,"$45,752,336,036",$45.75 billion,-1.24%,"68,12,341","$6,716",0.05%
90,Uganda,"$45,559,202,049",$45.56 billion,4.65%,"4,72,49,585",$964,0.05%
91,Bahrain,"$44,390,820,479",$44.39 billion,4.86%,"14,72,233","$30,152",0.04%
92,Cameroon,"$44,341,646,509",$44.34 billion,3.54%,"2,79,14,536","$1,588",0.04%
93,Bolivia,"$43,068,885,673",$43.07 billion,3.07%,"1,22,24,110","$3,523",0.04%
94,Paraguay,"$41,722,295,362",$41.72 billion,0.08%,"67,80,744","$6,153",0.04%
95,Latvia,"$41,153,912,663",$41.15 billion,1.98%,"18,50,651","$22,238",0.04%
96,Nepal,"$40,828,247,302",$40.83 billion,5.61%,"3,05,47,580","$1,337",0.04%
97,Estonia,"$38,100,812,959",$38.10 billion,-1.29%,"13,26,062","$28,732",0.04%
98,El Salvador,"$32,488,720,000",$32.49 billion,2.60%,"63,36,392","$5,127",0.03%
99,Honduras,"$31,717,700,115",$31.72 billion,4.00%,"1,04,32,860","$3,040",0.03%
100,Papua New Guinea,"$30,633,444,295",$30.63 billion,4.60%,"1,01,42,619","$3,020",0.03%
101,Cambodia,"$29,956,769,529",$29.96 billion,5.16%,"1,67,67,842","$1,787",0.03%
102,Zambia,"$29,784,454,056",$29.78 billion,4.74%,"2,00,17,675","$1,488",0.03%
103,Cyprus,"$28,439,052,741",$28.44 billion,5.63%,"12,51,488","$22,724",0.03%
104,Trinidad and Tobago,"$27,899,082,337",$27.90 billion,2.48%,"15,31,044","$18,222",0.03%
105,Iceland,"$27,841,648,044",$27.84 billion,6.44%,"3,72,899","$74,663",0.03%
106,Senegal,"$27,684,430,244",$27.68 billion,4.15%,"1,73,16,449","$1,599",0.03%
107,Georgia,"$24,605,375,420",$24.61 billion,10.11%,"37,44,385","$6,571",0.02%
108,Bosnia and Herzegovina,"$24,527,507,288",$24.53 billion,3.90%,"32,33,526","$7,585",0.02%
109,Macao,"$21,979,475,561",$21.98 billion,-26.76%,"6,95,168","$31,618",0.02%
110,Guinea,"$21,227,749,389",$21.23 billion,4.70%,"1,38,59,341","$1,532",0.02%
111,Gabon,"$21,071,739,228",$21.07 billion,3.04%,"23,88,992","$8,820",0.02%
112,Zimbabwe,"$20,678,055,598",$20.68 billion,3.40%,"1,63,20,537","$1,267",0.02%
113,Botswana,"$20,352,322,157",$20.35 billion,5.78%,"26,30,296","$7,738",0.02%
114,Haiti,"$20,253,551,885",$20.25 billion,-1.68%,"1,15,84,996","$1,748",0.02%
115,Armenia,"$19,502,783,988",$19.50 billion,12.60%,"27,80,469","$7,014",0.02%
116,State of Palestine,"$19,111,900,000",$19.11 billion,3.93%,"52,50,072","$3,640",0.02%
117,Burkina Faso,"$18,884,619,613",$18.88 billion,1.48%,"2,26,73,762",$833,0.02%
118,Albania,"$18,882,095,518",$18.88 billion,4.84%,"28,42,321","$6,643",0.02%
119,Mali,"$18,827,176,532",$18.83 billion,3.69%,"2,25,93,590",$833,0.02%
120,Mozambique,"$17,851,491,428",$17.85 billion,4.15%,"3,29,69,518",$541,0.02%
121,Malta,"$17,765,270,015",$17.77 billion,6.85%,"5,33,286","$33,313",0.02%
122,Benin,"$17,401,746,309",$17.40 billion,6.25%,"1,33,52,864","$1,303",0.02%
123,Jamaica,"$17,097,760,745",$17.10 billion,4.20%,"28,27,377","$6,047",0.02%
124,Mongolia,"$16,810,883,361",$16.81 billion,4.85%,"33,98,366","$4,947",0.02%
125,Brunei,"$16,681,531,646",$16.68 billion,-1.63%,"4,49,002","$37,152",0.02%
126,Laos,"$15,724,383,783",$15.72 billion,2.71%,"75,29,475","$2,088",0.02%
127,Nicaragua,"$15,671,583,878",$15.67 billion,3.75%,"69,48,392","$2,255",0.02%
128,Guyana,"$15,357,537,068",$15.36 billion,57.80%,"8,08,726","$18,990",0.02%
129,Madagascar,"$14,954,967,604",$14.95 billion,3.80%,"2,96,11,714",$505,0.01%
130,Congo,"$14,615,532,210",$14.62 billion,1.55%,"59,70,424","$2,448",0.01%
131,Moldova,"$14,420,947,884",$14.42 billion,-5.95%,"32,72,996","$4,406",0.01%
132,Niger,"$13,969,605,583",$13.97 billion,11.50%,"2,62,07,977",$533,0.01%
133,North Macedonia,"$13,563,132,057",$13.56 billion,2.15%,"20,93,599","$6,478",0.01%
134,Rwanda,"$13,312,796,765",$13.31 billion,8.16%,"1,37,76,698",$966,0.01%
135,Malawi,"$13,164,667,627",$13.16 billion,0.92%,"2,04,05,317",$645,0.01%
136,Mauritius,"$12,898,307,089",$12.90 billion,8.69%,"12,99,469","$9,926",0.01%
137,Bahamas,"$12,897,400,000",$12.90 billion,14.37%,"4,09,984","$31,458",0.01%
138,Chad,"$12,704,149,842",$12.70 billion,2.24%,"1,77,23,315",$717,0.01%
139,Namibia,"$12,607,436,976",$12.61 billion,4.56%,"25,67,012","$4,911",0.01%
140,Equatorial Guinea,"$11,813,908,448",$11.81 billion,3.15%,"16,74,908","$7,053",0.01%
141,Kyrgyzstan,"$10,930,644,915",$10.93 billion,7.02%,"66,30,623","$1,649",0.01%
142,Tajikistan,"$10,492,123,388",$10.49 billion,8.00%,"99,52,787","$1,054",0.01%
143,Mauritania,"$10,375,460,680",$10.38 billion,5.20%,"47,36,139","$2,191",0.01%
144,Togo,"$8,126,439,481",$8.13 billion,5.81%,"88,48,699",$918,0.01%
145,Maldives,"$6,189,865,408",$6.19 billion,12.30%,"5,23,787","$11,818",0.01%
146,Montenegro,"$6,095,978,868",$6.10 billion,6.09%,"6,27,082","$9,721",0.01%
147,Barbados,"$5,637,914,515",$5.64 billion,10.00%,"2,81,635","$20,019",0.01%
148,Fiji,"$4,943,248,200",$4.94 billion,16.12%,"9,29,766","$5,317",0.00%
149,Eswatini,"$4,854,167,638",$4.85 billion,3.91%,"12,01,670","$4,040",0.00%
150,Liberia,"$4,001,047,150",$4.00 billion,4.81%,"53,02,681",$755,0.00%
151,Sierra Leone,"$3,970,343,852",$3.97 billion,3.50%,"86,05,718",$461,0.00%
152,Suriname,"$3,620,655,116",$3.62 billion,1.89%,"6,18,040","$5,858",0.00%
153,Andorra,"$3,352,032,737",$3.35 billion,8.81%,"79,824","$41,993",0.00%
154,Timor-Leste,"$3,163,324,631",$3.16 billion,-17.49%,"13,41,296","$2,358",0.00%
155,Burundi,"$3,073,414,678",$3.07 billion,1.85%,"1,28,89,576",$238,0.00%
156,Belize,"$2,824,081,836",$2.82 billion,12.13%,"4,05,272","$6,968",0.00%
157,Lesotho,"$2,553,459,763",$2.55 billion,0.59%,"23,05,825","$1,107",0.00%
158,Central African Republic,"$2,382,618,615",$2.38 billion,0.00%,"55,79,144",$427,0.00%
159,Cabo Verde,"$2,314,816,792",$2.31 billion,17.71%,"5,93,149","$3,903",0.00%
160,Gambia,"$2,273,060,863",$2.27 billion,4.92%,"27,05,992",$840,0.00%
161,Saint Lucia,"$2,065,027,556",$2.07 billion,15.40%,"1,79,857","$11,481",0.00%
162,Antigua and Barbuda,"$1,757,603,704",$1.76 billion,8.46%,"93,763","$18,745",0.00%
163,Guinea-Bissau,"$1,633,559,092",$1.63 billion,3.50%,"21,05,566",$776,0.00%
164,Solomon Islands,"$1,595,710,784",$1.60 billion,-4.06%,"7,24,273","$2,203",0.00%
165,Seychelles,"$1,588,406,479",$1.59 billion,8.80%,"1,07,118","$14,829",0.00%
166,Grenada,"$1,256,413,185",$1.26 billion,5.80%,"1,25,438","$10,016",0.00%
167,Comoros,"$1,242,519,407",$1.24 billion,2.39%,"8,36,774","$1,485",0.00%
168,Vanuatu,"$983,582,865",$984 million,1.85%,"3,26,740","$3,010",0.00%
169,Saint Kitts & Nevis,"$961,563,259",$962 million,9.00%,"47,657","$20,177",0.00%
170,St. Vincent & Grenadines,"$948,558,503",$949 million,4.95%,"1,03,948","$9,125",0.00%
171,Samoa,"$832,421,565",$832 million,-6.02%,"2,22,382","$3,743",0.00%
172,Dominica,"$612,048,148",$612 million,5.94%,"72,737","$8,415",0.00%
173,Sao Tome & Principe,"$546,680,342",$547 million,0.93%,"2,27,380","$2,404",0.00%
174,Micronesia,"$427,094,119",$427 million,-0.62%,"5,39,013",$792,0.00%
175,Marshall Islands,"$279,667,900",$280 million,1.50%,"41,569","$6,728",0.00%
176,Kiribati,"$223,352,943",$223 million,1.56%,"1,31,232","$1,702",0.00%
177,Tuvalu,"$60,349,391",$60 million,0.68%,"11,312","$5,335",0.00%
